nombre_evento,tipo_evento,lugar_evento,intervalo_fecha,precio,descripcion_basica,data_extra,coordenadas
Papeles sobre el suelo,Exposición,Instituto Italiano de Cultura,9:00 am,Del 07.12.2018 al 09.02.2019,GRATIS,"['Instituto Italiano de Cultura', 'Av. Arequipa 1075a', 'Cercado de Lima', 'lun-vier 9am-8pm | sáb 9am-1pm\n', '472-6466 ', '+ info', '']","['-77.035729099999997515624272637069225311279296875', '-12.0753184999999998439079718082211911678314208984375']"
Daido Tokyo Color,Exposición,MATE - Museo Mario Testino,10:00 am,Del 19.10.2018 al 03.03.2019,GRATIS,"['MATE - Museo Mario Testino', 'Av. Pedro de Osma 409', 'Barranco', 'mart - dom 10 am - 7 pm\n', '251-7755', '+ info', '']","['-77.022844300000002704109647311270236968994140625', '-12.154028600000000182035364559851586818695068359375']"
Isla Azul. Láminas de Iquitos,Centro Cultural Inca Garcilaso,10:00 am,Del 13.12.2018 al 27.01.2019,GRATIS,"Iquitos fue la ciudad-puerto protagonista, junto a Manaos, de la Fiebre del Caucho (1880-1918), uno de los periodos de la historia peruana más alejados de nuestra memoria y que significó devastación, masacres y torturas para la población amazónica. Paradójicamente, esta época solo pudo ser visibilizada con la publicación de El Libro Azul británico, informe de las investigaciones realizadas por el cónsul irlandés Roger Casement. Hoy Iquitos convive con los restos arquitectónicos europeos cuyas paredes están repletas de historias. Malú Cabellos ingresa por la puerta de una de estas construcciones, el Edificio Azul, símbolo del absurdo, la corrupción y el abandono, para desarrollar su proyecto fotográfico en el que tercamente se impone este color.
El crítico Jorge Villacorta, dice que “podría considerarse que las imágenes fotográficas de Malú Cabellos son 'comentarios reales' de Iquitos. Ella lo presenta como un lugar semi-abandonado, trajinado y vivido y, sin embargo, imaginado. Su fotografía no emite ni proyecta juicios morales, pero su visión interroga a las sombras del pasado y las cuestiona acerca de su devenir en la historia.
Las imágenes fotográficas conservadas de antaño (archivo CAAAP) constituyen para ella una memorial visual, legado de una época, que plagada de funestos intereses económicos, tuvo trágicas consecuencias para una zona de la Amazonía entre dos países, para sus habitantes y para el mundo cultural de estos; hasta el presente. En Iquitos ella descubre murales que ingenuamente hacen eco de los retratos fotográficos grupales de la Fiebre del Caucho. A contracorriente, ella toma fragmentos de los negativos y los imprime en láminas de caucho natural, material recordatorio tanto de la sangre coagulada y tratada del árbol como de la piel de un cuerpo oscuramente quemado. El ingreso al archivo la ha conducido al umbral de lo lacerante, punto en el que ella parece rebelarse y nos confronta, con la agencia de la luz, a un acto revelador.
Isla Azul. Láminas de Iquitos va hasta el 27 de enero 2019 y puede ser visitada de martes a viernes, de 10 am a 8 pm, y sábados, domingos y feriados, de 10 am a 18pm. Ingreso libre.
","['Centro Cultural Inca Garcilaso', 'Jr. Ucayali 391', 'Cercado de Lima', '204-2658', '+ info', '']","['-77.02905309999999872161424718797206878662109375', '-12.0489358000000006398977347998879849910736083984375']"
Zimoun,Exposición,Espacio Fundación Telefónica,10:00 am,Del 22.11.2018 al 10.03.2019,GRATIS,"['Espacio Fundación Telefónica', 'Av. Arequipa 1155', 'Lima', 'mar - sáb 10am - 8pm | dom 12 - 7pm\n', '210-1327', '+ info', '']","['-77.0353209000000020978404791094362735748291015625', '-12.0762163000000004586809154716320335865020751953125']"
Taivaanranta - Firmamento,Exposición,Centro Cultural PUCP,10:00 am,Del 18.10.2018 al 31.01.2019,GRATIS,"['Centro Cultural PUCP', 'Av. Camino Real 1075', 'San Isidro', 'lun-dom 10am-10pm\n', '616-1616', '+ info', '']","['-77.0386916000000070425812737084925174713134765625', '-12.104441800000000029058355721645057201385498046875']"
Liliane Tomasko,Exposición,MATE Lab - Museo Mario Testino,10:00 am,Del 25.11.2018 al 27.01.2019,GRATIS,"['MATE Lab - Museo Mario Testino', 'Av. Pedro de Osma 409', 'Barranco', 'mar-dom 10am-7pm\n', '251-7755', '+ info', '']","['-77.022844300000002704109647311270236968994140625', '-12.154028600000000182035364559851586818695068359375']"
"Dora Mayer, la perseverancia femenina frente a su tiempo",Exposición,Centro Cultural Inca Garcilaso,10:00 am,Del 06.12.2018 al 27.01.2019,GRATIS,"['Centro Cultural Inca Garcilaso', 'Jr. Ucayali 391', 'Cercado de Lima', '204-2658', '+ info', '']","['-77.02905309999999872161424718797206878662109375', '-12.0489358000000006398977347998879849910736083984375']"
Caleidoscopio de un Arenal,Exposición,Centro Cultural de Bellas Artes,10:00 am,Del 13.12.2018 al 27.01.2019,GRATIS,"['Centro Cultural de Bellas Artes', 'Jr. Huallaga 402', 'Cercado de Lima', 'mart - dom 10 am - 1 pm / 2 - 7 pm\n', '427-5910', '+ info', '']","['-77.0301716000000027406713343225419521331787109375', '-12.0468834000000004635921868612058460712432861328125']"
ORGANUM. Universos corporales,Exposición,Sheraton Lima Hotel & Convention Center,11:00 am,Del 24.11.2018 al 06.01.2019,GRATIS,"['Sheraton Lima Hotel & Convention Center', 'Paseo de la República 170', 'Cercado de Lima', '(01) 3155000', '+ info', '']","['-77.0370410000000021000232663936913013458251953125', '-12.0571339999999995740154190571047365665435791015625']"
Autotélico,Exposición,Casa Fugaz,11:00 am,Del 24.11.2018 al 24.01.2019,GRATIS,"['Casa Fugaz', 'Jr. Constitución 250, Monumental Callao', 'Callao', '+ info', '']","['-77.14731399999999439387465827167034149169921875', '-12.059886999999999801502781338058412075042724609375']"
La otra mirada del jugador: Dibujos de Julio Hevia,Exposición,Galería ICPNA - Miraflores,11:00 am,Del 28.12.2018 al 06.01.2019,GRATIS,"['Galería ICPNA - Miraflores', 'Av. Angamos Oeste 160', 'Miraflores', 'mart - dom 11am - 8pm\n', '706-7001', '+ info', '']","['-77.030269000000004098183126188814640045166015625', '-12.1135550999999992427547113038599491119384765625']"
Audición para integrar la Escuela de Ballet San Marcos,Otros,Centro Cultural de San Marcos,3:00 pm,"Viernes, 04 de Enero",GRATIS,"['Centro Cultural de San Marcos', 'Av. Nicolás de Piérola 1222, Parque Universitario', 'Cercado de Lima', 'lun - sab 10:00 - 17:00\n', '619-7000', '+ info', '']","['-77.03217119999999340507201850414276123046875', '-12.0531912999999999414058038382790982723236083984375']"
Yoko Ono. Universo Libre,Exposición,Proyecto AMIL,3:00 pm,Del 18.09.2018 al 16.02.2019,GRATIS,"['Proyecto AMIL', 'C.C. Camino Real, Víctor Andrés Belaúnde con Av. Camino Real, Subsuelo', 'San Isidro', '+ info', '']","['-77.0363554358479944994542165659368038177490234375', '-12.09722697909599986587636522017419338226318359375']"
Reina por un día,Teatro Marsano,8:00 pm,Del 02.01.2019 al 30.03.2019,S/. 38.00 a S/. 80.00,"Valentina es una madre que abandona a su hijo al nacer, quien crece con un sentimiento permanente de frustración y resentimiento hacia ella. Veinticinco años después, en un Día de la Madre, Valentina regresa a la casa donde vive su hijo Jorge y su esposa, para resolver muchos conflictos y reconciliarse con su hijo.
Reina por un día es una adaptación libre de Chalo Gambino, que cuenta con las actuaciones de: Regina Alcover, Renato Rossini, Julián Legaspi, Elvira de la Puente y Leonardo Torres Descalzi, entre otros.
La temporada de esta obra de teatro en Lima va hasta el 31 de marzo 2019, con funciones de miércoles a sábado a las 8 pm, y domingo a las 7 pm.
Precio de entrada: General S/80; Estudiantes y Adulto mayor S/38; Domingo familiar S/50
Venta de entradas: Teleticket y boletería del teatro
 
","['Teatro Marsano', 'General Suárez 409', 'Miraflores', '445-7347', '+ info', '']","['-77.0276357999999987669070833362638950347900390625', '-12.1169062000000007373046173597685992717742919921875']"
"No te preocupes, no irá lejos",Cine,Cineplanet Alcázar,9:45 pm,Del 04.01.2019 al 10.01.2019,S/. 20.00,"['Cineplanet Alcázar', 'Av. Andres Santa Cruz 814', 'San Isidro', '+ info', '']","['-77.0375039999999984274836606346070766448974609375', '-12.1102830000000007970584192662499845027923583984375']"
